id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
46,Women,Apparel,Topwear,Sweater,Pastel Pink,Winter,2018,Travel,Women Sweater in Pastel Pink
47,Women,Apparel,Bottomwear,Formal Pants,Black,Winter,2018,Formal,Women Formal Pants in Black
48,Women,Footwear,Footwear,Boots,Navy Blue,Winter,2018,Travel,Women Boots in Navy Blue
49,Women,Apparel,Topwear,Sweater,White,Monsoon,2019,Travel,Women Sweater in White
50,Women,Apparel,Bottomwear,Palazzo Pants,White,Monsoon,2019,Ethnic,Women Palazzo Pants in White
51,Women,Footwear,Footwear,Sneakers,White,Monsoon,2019,Casual,Women Sneakers in White
52,Women,Apparel,Topwear,Crop Top,Beige,Spring,2017,Party,Women Crop Top in Beige
53,Women,Apparel,Bottomwear,Shorts,Grey,Spring,2017,Casual,Women Shorts in Grey
54,Women,Footwear,Footwear,Formal Shoes,Navy Blue,Spring,2017,Formal,Women Formal Shoes in Navy Blue
55,Women,Apparel,Topwear,Shirt,Black,Spring,2018,Formal,Women Shirt in Black
56,Women,Apparel,Bottomwear,Cargo Pants,Beige,Spring,2018,Travel,Women Cargo Pants in Beige
57,Women,Footwear,Footwear,Heels,White,Spring,2018,Party,Women Heels in White
58,Men,Apparel,Topwear,Kurta,Sky Blue,Spring,2018,Ethnic,Men Kurta in Sky Blue
59,Men,Apparel,Bottomwear,Woolen Trousers,White,Spring,2018,Travel,Men Woolen Trousers in White
60,Men,Footwear,Footwear,Sandals,Grey,Spring,2018,Casual,Men Sandals in Grey
61,Women,Apparel,Topwear,Hoodie,Sky Blue,Spring,2022,Travel,Women Hoodie in Sky Blue
62,Women,Apparel,Bottomwear,Woolen Trousers,Beige,Spring,2022,Travel,Women Woolen Trousers in Beige
63,Women,Footwear,Footwear,Heels,Black,Spring,2022,Party,Women Heels in Black
64,Men,Apparel,Topwear,Shirt,Navy Blue,Spring,2022,Formal,Men Shirt in Navy Blue
65,Men,Apparel,Bottomwear,Jeans,Blue,Spring,2022,Casual,Men Jeans in Blue
66,Men,Footwear,Footwear,Flip Flops,White,Spring,2022,Casual,Men Flip Flops in White
67,Women,Apparel,Topwear,Kurta,Beige,Monsoon,2015,Ethnic,Women Kurta in Beige
68,Women,Apparel,Bottomwear,Formal Pants,Grey,Monsoon,2015,Formal,Women Formal Pants in Grey
69,Women,Footwear,Footwear,Kolhapuri Sandals,White,Monsoon,2015,Ethnic,Women Kolhapuri Sandals in White
70,Women,Apparel,Topwear,Denim Jacket,Olive,Summer,2023,Travel,Women Denim Jacket in Olive
71,Women,Apparel,Bottomwear,Formal Pants,Blue,Summer,2023,Formal,Women Formal Pants in Blue
72,Women,Footwear,Footwear,Running Shoes,White,Summer,2023,Travel,Women Running Shoes in White
73,Women,Apparel,Topwear,Shirt,White,Fall,2020,Formal,Women Shirt in White
74,Women,Apparel,Bottomwear,Joggers,Blue,Fall,2020,Travel,Women Joggers in Blue
75,Women,Footwear,Footwear,Sneakers,Black,Fall,2020,Casual,Women Sneakers in Black
76,Men,Apparel,Topwear,Blouse,Olive,Winter,2022,Party,Men Blouse in Olive
77,Men,Apparel,Bottomwear,Joggers,Beige,Winter,2022,Travel,Men Joggers in Beige
78,Men,Footwear,Footwear,Heels,Brown,Winter,2022,Party,Men Heels in Brown
79,Women,Apparel,Topwear,T-shirt,Navy Blue,Fall,2015,Casual,Women T-shirt in Navy Blue
80,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2015,Casual,Women Jeans in Blue
81,Women,Footwear,Footwear,Sandals,White,Fall,2015,Casual,Women Sandals in White
82,Men,Apparel,Topwear,Blouse,Olive,Fall,2022,Party,Men Blouse in Olive
83,Men,Apparel,Bottomwear,Shorts,Black,Fall,2022,Casual,Men Shorts in Black
84,Men,Footwear,Footwear,Heels,Black,Fall,2022,Party,Men Heels in Black
85,Men,Apparel,Topwear,T-shirt,White,Winter,2018,Casual,Men T-shirt in White
86,Men,Apparel,Bottomwear,Woolen Trousers,Grey,Winter,2018,Travel,Men Woolen Trousers in Grey
87,Men,Footwear,Footwear,Formal Shoes,White,Winter,2018,Formal,Men Formal Shoes in White
88,Men,Apparel,Topwear,Denim Jacket,Maroon,Spring,2025,Travel,Men Denim Jacket in Maroon
89,Men,Apparel,Bottomwear,Jeans,Grey,Spring,2025,Casual,Men Jeans in Grey
90,Men,Footwear,Footwear,Flip Flops,Brown,Spring,2025,Casual,Men Flip Flops in Brown
91,Women,Apparel,Topwear,Kurta,Navy Blue,Winter,2022,Ethnic,Women Kurta in Navy Blue
92,Women,Apparel,Bottomwear,Shorts,Black,Winter,2022,Casual,Women Shorts in Black
93,Women,Footwear,Footwear,Heels,Grey,Winter,2022,Party,Women Heels in Grey
94,Women,Apparel,Topwear,Shirt,Olive,Winter,2024,Formal,Women Shirt in Olive
95,Women,Apparel,Bottomwear,Jeans,Olive,Winter,2024,Casual,Women Jeans in Olive
96,Women,Footwear,Footwear,Running Shoes,White,Winter,2024,Travel,Women Running Shoes in White
97,Men,Apparel,Topwear,Blouse,Sky Blue,Summer,2016,Party,Men Blouse in Sky Blue
98,Men,Apparel,Bottomwear,Cargo Pants,White,Summer,2016,Travel,Men Cargo Pants in White
99,Men,Footwear,Footwear,Sandals,Grey,Summer,2016,Casual,Men Sandals in Grey
100,Men,Apparel,Topwear,Kurta,White,Winter,2015,Ethnic,Men Kurta in White
101,Men,Apparel,Bottomwear,Formal Pants,Black,Winter,2015,Formal,Men Formal Pants in Black
102,Men,Footwear,Footwear,Formal Shoes,Brown,Winter,2015,Formal,Men Formal Shoes in Brown
103,Women,Apparel,Topwear,Blouse,Beige,Summer,2024,Party,Women Blouse in Beige
104,Women,Apparel,Bottomwear,Cargo Pants,Olive,Summer,2024,Travel,Women Cargo Pants in Olive
105,Women,Footwear,Footwear,Sneakers,Brown,Summer,2024,Casual,Women Sneakers in Brown
106,Men,Apparel,Topwear,Kurta,Sky Blue,Fall,2023,Ethnic,Men Kurta in Sky Blue
107,Men,Apparel,Bottomwear,Palazzo Pants,Beige,Fall,2023,Ethnic,Men Palazzo Pants in Beige
108,Men,Footwear,Footwear,Running Shoes,Navy Blue,Fall,2023,Travel,Men Running Shoes in Navy Blue
109,Men,Apparel,Topwear,Crop Top,Maroon,Fall,2021,Party,Men Crop Top in Maroon
110,Men,Apparel,Bottomwear,Joggers,Beige,Fall,2021,Travel,Men Joggers in Beige
111,Men,Footwear,Footwear,Sandals,Brown,Fall,2021,Casual,Men Sandals in Brown
112,Men,Apparel,Topwear,Blouse,Pastel Pink,Monsoon,2017,Party,Men Blouse in Pastel Pink
113,Men,Apparel,Bottomwear,Skirt,Beige,Monsoon,2017,Party,Men Skirt in Beige
114,Men,Footwear,Footwear,Boots,Brown,Monsoon,2017,Travel,Men Boots in Brown
115,Men,Apparel,Topwear,Kurta,Maroon,Fall,2018,Ethnic,Men Kurta in Maroon
116,Men,Apparel,Bottomwear,Jeans,Olive,Fall,2018,Casual,Men Jeans in Olive
117,Men,Footwear,Footwear,Formal Shoes,Navy Blue,Fall,2018,Formal,Men Formal Shoes in Navy Blue
118,Women,Apparel,Topwear,T-shirt,Olive,Monsoon,2021,Casual,Women T-shirt in Olive
119,Women,Apparel,Bottomwear,Jeans,Beige,Monsoon,2021,Casual,Women Jeans in Beige
120,Women,Footwear,Footwear,Sneakers,Grey,Monsoon,2021,Casual,Women Sneakers in Grey
121,Men,Apparel,Topwear,Kurta,Olive,Winter,2021,Ethnic,Men Kurta in Olive
122,Men,Apparel,Bottomwear,Shorts,Black,Winter,2021,Casual,Men Shorts in Black
123,Men,Footwear,Footwear,Running Shoes,White,Winter,2021,Travel,Men Running Shoes in White
124,Women,Apparel,Topwear,Denim Jacket,Maroon,Fall,2016,Travel,Women Denim Jacket in Maroon
125,Women,Apparel,Bottomwear,Formal Pants,Grey,Fall,2016,Formal,Women Formal Pants in Grey
126,Women,Footwear,Footwear,Running Shoes,White,Fall,2016,Travel,Women Running Shoes in White
127,Men,Apparel,Topwear,Hoodie,Navy Blue,Spring,2025,Travel,Men Hoodie in Navy Blue
128,Men,Apparel,Bottomwear,Cargo Pants,Black,Spring,2025,Travel,Men Cargo Pants in Black
129,Men,Footwear,Footwear,Heels,White,Spring,2025,Party,Men Heels in White
130,Women,Apparel,Topwear,Sweater,Olive,Fall,2017,Travel,Women Sweater in Olive
131,Women,Apparel,Bottomwear,Woolen Trousers,Black,Fall,2017,Travel,Women Woolen Trousers in Black
132,Women,Footwear,Footwear,Sneakers,White,Fall,2017,Casual,Women Sneakers in White
133,Women,Apparel,Topwear,Kurta,Beige,Spring,2017,Ethnic,Women Kurta in Beige
134,Women,Apparel,Bottomwear,Skirt,Olive,Spring,2017,Party,Women Skirt in Olive
135,Women,Footwear,Footwear,Sandals,Navy Blue,Spring,2017,Casual,Women Sandals in Navy Blue
136,Women,Apparel,Topwear,Denim Jacket,White,Spring,2016,Travel,Women Denim Jacket in White
137,Women,Apparel,Bottomwear,Shorts,Blue,Spring,2016,Casual,Women Shorts in Blue
138,Women,Footwear,Footwear,Kolhapuri Sandals,White,Spring,2016,Ethnic,Women Kolhapuri Sandals in White
139,Men,Apparel,Topwear,Formal Shirt,Black,Summer,2015,Formal,Men Formal Shirt in Black
140,Men,Apparel,Bottomwear,Woolen Trousers,Black,Summer,2015,Travel,Men Woolen Trousers in Black
141,Men,Footwear,Footwear,Running Shoes,Grey,Summer,2015,Travel,Men Running Shoes in Grey
142,Women,Apparel,Topwear,Shirt,Black,Summer,2023,Formal,Women Shirt in Black
143,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2023,Casual,Women Jeans in Blue
144,Women,Footwear,Footwear,Heels,White,Summer,2023,Party,Women Heels in White
145,Men,Apparel,Topwear,Blouse,Beige,Spring,2023,Party,Men Blouse in Beige
146,Men,Apparel,Bottomwear,Woolen Trousers,Beige,Spring,2023,Travel,Men Woolen Trousers in Beige
147,Men,Footwear,Footwear,Kolhapuri Sandals,Grey,Spring,2023,Ethnic,Men Kolhapuri Sandals in Grey
148,Women,Apparel,Topwear,Hoodie,Olive,Summer,2017,Travel,Women Hoodie in Olive
149,Women,Apparel,Bottomwear,Jeans,Black,Summer,2017,Casual,Women Jeans in Black
150,Women,Footwear,Footwear,Running Shoes,White,Summer,2017,Travel,Women Running Shoes in White
151,Men,Apparel,Topwear,Crop Top,Sky Blue,Monsoon,2021,Party,Men Crop Top in Sky Blue
152,Men,Apparel,Bottomwear,Jeans,Grey,Monsoon,2021,Casual,Men Jeans in Grey
153,Men,Footwear,Footwear,Formal Shoes,White,Monsoon,2021,Formal,Men Formal Shoes in White
154,Men,Apparel,Topwear,T-shirt,Maroon,Monsoon,2024,Casual,Men T-shirt in Maroon
155,Men,Apparel,Bottomwear,Shorts,Grey,Monsoon,2024,Casual,Men Shorts in Grey
156,Men,Footwear,Footwear,Sneakers,Brown,Monsoon,2024,Casual,Men Sneakers in Brown
157,Women,Apparel,Topwear,Formal Shirt,Pastel Pink,Fall,2022,Formal,Women Formal Shirt in Pastel Pink
158,Women,Apparel,Bottomwear,Formal Pants,White,Fall,2022,Formal,Women Formal Pants in White
159,Women,Footwear,Footwear,Running Shoes,Black,Fall,2022,Travel,Women Running Shoes in Black
160,Men,Apparel,Topwear,Shirt,Beige,Winter,2020,Formal,Men Shirt in Beige
161,Men,Apparel,Bottomwear,Shorts,Olive,Winter,2020,Casual,Men Shorts in Olive
162,Men,Footwear,Footwear,Kolhapuri Sandals,Black,Winter,2020,Ethnic,Men Kolhapuri Sandals in Black
163,Men,Apparel,Topwear,Shirt,Olive,Fall,2025,Formal,Men Shirt in Olive
164,Men,Apparel,Bottomwear,Skirt,Black,Fall,2025,Party,Men Skirt in Black
165,Men,Footwear,Footwear,Flip Flops,Black,Fall,2025,Casual,Men Flip Flops in Black
166,Women,Apparel,Topwear,Crop Top,Sky Blue,Monsoon,2023,Party,Women Crop Top in Sky Blue
167,Women,Apparel,Bottomwear,Formal Pants,White,Monsoon,2023,Formal,Women Formal Pants in White
168,Women,Footwear,Footwear,Sandals,Navy Blue,Monsoon,2023,Casual,Women Sandals in Navy Blue
169,Women,Apparel,Topwear,Shirt,Olive,Monsoon,2019,Formal,Women Shirt in Olive
170,Women,Apparel,Bottomwear,Trousers,Grey,Monsoon,2019,Formal,Women Trousers in Grey
171,Women,Footwear,Footwear,Flip Flops,White,Monsoon,2019,Casual,Women Flip Flops in White
172,Men,Apparel,Topwear,Sweater,Pastel Pink,Summer,2021,Travel,Men Sweater in Pastel Pink
173,Men,Apparel,Bottomwear,Trousers,Olive,Summer,2021,Formal,Men Trousers in Olive
174,Men,Footwear,Footwear,Kolhapuri Sandals,Brown,Summer,2021,Ethnic,Men Kolhapuri Sandals in Brown
175,Women,Apparel,Topwear,T-shirt,Maroon,Spring,2015,Casual,Women T-shirt in Maroon
176,Women,Apparel,Bottomwear,Formal Pants,Grey,Spring,2015,Formal,Women Formal Pants in Grey
177,Women,Footwear,Footwear,Running Shoes,Brown,Spring,2015,Travel,Women Running Shoes in Brown
178,Women,Apparel,Topwear,Hoodie,Maroon,Winter,2015,Travel,Women Hoodie in Maroon
179,Women,Apparel,Bottomwear,Trousers,Black,Winter,2015,Formal,Women Trousers in Black
180,Women,Footwear,Footwear,Formal Shoes,Grey,Winter,2015,Formal,Women Formal Shoes in Grey
181,Men,Apparel,Topwear,Denim Jacket,White,Spring,2021,Travel,Men Denim Jacket in White
182,Men,Apparel,Bottomwear,Woolen Trousers,Black,Spring,2021,Travel,Men Woolen Trousers in Black
183,Men,Footwear,Footwear,Formal Shoes,Navy Blue,Spring,2021,Formal,Men Formal Shoes in Navy Blue
184,Men,Apparel,Topwear,Sweater,Black,Summer,2023,Travel,Men Sweater in Black
185,Men,Apparel,Bottomwear,Formal Pants,Blue,Summer,2023,Formal,Men Formal Pants in Blue
186,Men,Footwear,Footwear,Sneakers,Navy Blue,Summer,2023,Casual,Men Sneakers in Navy Blue
187,Women,Apparel,Topwear,Kurta,Pastel Pink,Monsoon,2022,Ethnic,Women Kurta in Pastel Pink
188,Women,Apparel,Bottomwear,Skirt,Black,Monsoon,2022,Party,Women Skirt in Black
189,Women,Footwear,Footwear,Formal Shoes,Brown,Monsoon,2022,Formal,Women Formal Shoes in Brown
190,Women,Apparel,Topwear,Hoodie,Pastel Pink,Spring,2016,Travel,Women Hoodie in Pastel Pink
191,Women,Apparel,Bottomwear,Palazzo Pants,White,Spring,2016,Ethnic,Women Palazzo Pants in White
192,Women,Footwear,Footwear,Flip Flops,White,Spring,2016,Casual,Women Flip Flops in White
193,Men,Apparel,Topwear,Denim Jacket,Beige,Summer,2016,Travel,Men Denim Jacket in Beige
194,Men,Apparel,Bottomwear,Joggers,White,Summer,2016,Travel,Men Joggers in White
195,Men,Footwear,Footwear,Sandals,Brown,Summer,2016,Casual,Men Sandals in Brown
196,Women,Apparel,Topwear,Crop Top,Pastel Pink,Winter,2017,Party,Women Crop Top in Pastel Pink
197,Women,Apparel,Bottomwear,Palazzo Pants,Olive,Winter,2017,Ethnic,Women Palazzo Pants in Olive
198,Women,Footwear,Footwear,Heels,Navy Blue,Winter,2017,Party,Women Heels in Navy Blue
199,Women,Apparel,Topwear,Formal Shirt,White,Fall,2018,Formal,Women Formal Shirt in White
200,Women,Apparel,Bottomwear,Skirt,White,Fall,2018,Party,Women Skirt in White
201,Women,Footwear,Footwear,Formal Shoes,Black,Fall,2018,Formal,Women Formal Shoes in Black
202,Men,Apparel,Topwear,Blouse,Pastel Pink,Winter,2021,Party,Men Blouse in Pastel Pink
203,Men,Apparel,Bottomwear,Palazzo Pants,Black,Winter,2021,Ethnic,Men Palazzo Pants in Black
204,Men,Footwear,Footwear,Sandals,Brown,Winter,2021,Casual,Men Sandals in Brown
205,Women,Apparel,Topwear,Sweater,White,Fall,2016,Travel,Women Sweater in White
206,Women,Apparel,Bottomwear,Palazzo Pants,Beige,Fall,2016,Ethnic,Women Palazzo Pants in Beige
207,Women,Footwear,Footwear,Kolhapuri Sandals,Grey,Fall,2016,Ethnic,Women Kolhapuri Sandals in Grey
208,Women,Apparel,Topwear,Blouse,Olive,Fall,2020,Party,Women Blouse in Olive
209,Women,Apparel,Bottomwear,Woolen Trousers,Olive,Fall,2020,Travel,Women Woolen Trousers in Olive
210,Women,Footwear,Footwear,Heels,Grey,Fall,2020,Party,Women Heels in Grey
211,Men,Apparel,Topwear,Kurta,Pastel Pink,Winter,2018,Ethnic,Men Kurta in Pastel Pink
212,Men,Apparel,Bottomwear,Palazzo Pants,Beige,Winter,2018,Ethnic,Men Palazzo Pants in Beige
213,Men,Footwear,Footwear,Sandals,White,Winter,2018,Casual,Men Sandals in White
214,Men,Apparel,Topwear,Denim Jacket,Pastel Pink,Monsoon,2023,Travel,Men Denim Jacket in Pastel Pink
215,Men,Apparel,Bottomwear,Jeans,Beige,Monsoon,2023,Casual,Men Jeans in Beige
216,Men,Footwear,Footwear,Running Shoes,Brown,Monsoon,2023,Travel,Men Running Shoes in Brown
217,Women,Apparel,Topwear,Kurta,Black,Summer,2020,Ethnic,Women Kurta in Black
218,Women,Apparel,Bottomwear,Woolen Trousers,Olive,Summer,2020,Travel,Women Woolen Trousers in Olive
219,Women,Footwear,Footwear,Boots,Black,Summer,2020,Travel,Women Boots in Black
220,Men,Apparel,Topwear,Formal Shirt,Navy Blue,Summer,2018,Formal,Men Formal Shirt in Navy Blue
221,Men,Apparel,Bottomwear,Joggers,Grey,Summer,2018,Travel,Men Joggers in Grey
222,Men,Footwear,Footwear,Sandals,Navy Blue,Summer,2018,Casual,Men Sandals in Navy Blue
223,Women,Apparel,Topwear,Denim Jacket,Sky Blue,Fall,2024,Travel,Women Denim Jacket in Sky Blue
224,Women,Apparel,Bottomwear,Joggers,Blue,Fall,2024,Travel,Women Joggers in Blue
225,Women,Footwear,Footwear,Heels,Grey,Fall,2024,Party,Women Heels in Grey
226,Women,Apparel,Topwear,Kurta,Navy Blue,Winter,2025,Ethnic,Women Kurta in Navy Blue
227,Women,Apparel,Bottomwear,Formal Pants,Beige,Winter,2025,Formal,Women Formal Pants in Beige
228,Women,Footwear,Footwear,Running Shoes,Brown,Winter,2025,Travel,Women Running Shoes in Brown
229,Men,Apparel,Topwear,Formal Shirt,Black,Monsoon,2018,Formal,Men Formal Shirt in Black
230,Men,Apparel,Bottomwear,Joggers,Black,Monsoon,2018,Travel,Men Joggers in Black
231,Men,Footwear,Footwear,Boots,Black,Monsoon,2018,Travel,Men Boots in Black
232,Women,Apparel,Topwear,Crop Top,Pastel Pink,Fall,2019,Party,Women Crop Top in Pastel Pink
233,Women,Apparel,Bottomwear,Skirt,Black,Fall,2019,Party,Women Skirt in Black
234,Women,Footwear,Footwear,Flip Flops,Navy Blue,Fall,2019,Casual,Women Flip Flops in Navy Blue
235,Men,Apparel,Topwear,T-shirt,Black,Monsoon,2019,Casual,Men T-shirt in Black
236,Men,Apparel,Bottomwear,Formal Pants,Blue,Monsoon,2019,Formal,Men Formal Pants in Blue
237,Men,Footwear,Footwear,Heels,White,Monsoon,2019,Party,Men Heels in White
238,Women,Apparel,Topwear,Sweater,Navy Blue,Monsoon,2018,Travel,Women Sweater in Navy Blue
239,Women,Apparel,Bottomwear,Skirt,Black,Monsoon,2018,Party,Women Skirt in Black
240,Women,Footwear,Footwear,Formal Shoes,Grey,Monsoon,2018,Formal,Women Formal Shoes in Grey
241,Women,Apparel,Topwear,T-shirt,Navy Blue,Winter,2019,Casual,Women T-shirt in Navy Blue
242,Women,Apparel,Bottomwear,Woolen Trousers,Beige,Winter,2019,Travel,Women Woolen Trousers in Beige
243,Women,Footwear,Footwear,Running Shoes,Black,Winter,2019,Travel,Women Running Shoes in Black
244,Women,Apparel,Topwear,Denim Jacket,Maroon,Fall,2023,Travel,Women Denim Jacket in Maroon
245,Women,Apparel,Bottomwear,Trousers,Grey,Fall,2023,Formal,Women Trousers in Grey
246,Women,Footwear,Footwear,Boots,White,Fall,2023,Travel,Women Boots in White
247,Women,Apparel,Topwear,Sweater,Beige,Spring,2019,Travel,Women Sweater in Beige
248,Women,Apparel,Bottomwear,Cargo Pants,Black,Spring,2019,Travel,Women Cargo Pants in Black
249,Women,Footwear,Footwear,Sandals,Black,Spring,2019,Casual,Women Sandals in Black
250,Women,Apparel,Topwear,Crop Top,Beige,Monsoon,2022,Party,Women Crop Top in Beige
251,Women,Apparel,Bottomwear,Jeans,Grey,Monsoon,2022,Casual,Women Jeans in Grey
252,Women,Footwear,Footwear,Kolhapuri Sandals,Grey,Monsoon,2022,Ethnic,Women Kolhapuri Sandals in Grey
253,Men,Apparel,Topwear,Crop Top,Navy Blue,Winter,2018,Party,Men Crop Top in Navy Blue
254,Men,Apparel,Bottomwear,Formal Pants,Grey,Winter,2018,Formal,Men Formal Pants in Grey
255,Men,Footwear,Footwear,Boots,Black,Winter,2018,Travel,Men Boots in Black
256,Men,Apparel,Topwear,Hoodie,Navy Blue,Monsoon,2015,Travel,Men Hoodie in Navy Blue
257,Men,Apparel,Bottomwear,Joggers,Beige,Monsoon,2015,Travel,Men Joggers in Beige
258,Men,Footwear,Footwear,Kolhapuri Sandals,Navy Blue,Monsoon,2015,Ethnic,Men Kolhapuri Sandals in Navy Blue
259,Men,Apparel,Topwear,Formal Shirt,Beige,Spring,2018,Formal,Men Formal Shirt in Beige
260,Men,Apparel,Bottomwear,Skirt,White,Spring,2018,Party,Men Skirt in White
261,Men,Footwear,Footwear,Flip Flops,Brown,Spring,2018,Casual,Men Flip Flops in Brown
262,Women,Apparel,Topwear,Crop Top,Beige,Spring,2025,Party,Women Crop Top in Beige
263,Women,Apparel,Bottomwear,Trousers,Beige,Spring,2025,Formal,Women Trousers in Beige
264,Women,Footwear,Footwear,Sneakers,Black,Spring,2025,Casual,Women Sneakers in Black
265,Women,Apparel,Topwear,Blouse,Olive,Summer,2015,Party,Women Blouse in Olive
266,Women,Apparel,Bottomwear,Joggers,Olive,Summer,2015,Travel,Women Joggers in Olive
267,Women,Footwear,Footwear,Kolhapuri Sandals,Navy Blue,Summer,2015,Ethnic,Women Kolhapuri Sandals in Navy Blue
268,Men,Apparel,Topwear,Hoodie,Sky Blue,Monsoon,2016,Travel,Men Hoodie in Sky Blue
269,Men,Apparel,Bottomwear,Trousers,Beige,Monsoon,2016,Formal,Men Trousers in Beige
270,Men,Footwear,Footwear,Running Shoes,White,Monsoon,2016,Travel,Men Running Shoes in White
271,Women,Apparel,Topwear,Shirt,Olive,Fall,2021,Formal,Women Shirt in Olive
272,Women,Apparel,Bottomwear,Formal Pants,White,Fall,2021,Formal,Women Formal Pants in White
273,Women,Footwear,Footwear,Boots,Grey,Fall,2021,Travel,Women Boots in Grey
274,Men,Apparel,Topwear,Hoodie,White,Monsoon,2024,Travel,Men Hoodie in White
275,Men,Apparel,Bottomwear,Skirt,Grey,Monsoon,2024,Party,Men Skirt in Grey
276,Men,Footwear,Footwear,Boots,White,Monsoon,2024,Travel,Men Boots in White
277,Women,Apparel,Topwear,Kurta,Beige,Fall,2020,Ethnic,Women Kurta in Beige
278,Women,Apparel,Bottomwear,Skirt,Olive,Fall,2020,Party,Women Skirt in Olive
